Scenario,S&P500,FTSE 100,CAC 40,Nikkei 225
304,6538.898456,7296.871355,15468.61275,343.180546
305,6579.657923,7272.013877,15769.45887,340.8939899
306,6501.188423,7314.038898,15593.72335,344.8857556
307,6451.777145,7243.136319,15368.68326,341.4906875
308,6567.123398,7298.55394,15736.71876,343.4846941
309,6582.163482,7343.8822,15799.14868,347.7238129
310,6502.300189,7292.92809,15571.85227,341.4572115
311,6496.054053,7192.907574,15476.71529,344.3389665
312,6498.44384,7285.192328,15591.44556,341.9418132
313,6543.443807,7329.739331,15612.2622,344.457233
314,6515.847804,7278.649002,15556.94489,343.2331338
315,6493.218611,7266.870585,15638.52442,345.1122896
316,6492.724842,7287.412162,15358.09621,342.2632324
317,6498.40024,7306.458647,15651.81048,341.6156091
318,6496.654117,7226.801751,15585.5996,342.2469945
319,6464.660158,7318.061261,15651.67314,343.7680555
320,6441.352071,7163.176619,15293.69552,343.6773618
321,6536.159127,7216.045016,15449.95594,342.2295303
322,6480.750303,7246.394992,15551.97298,340.767277
323,6462.541508,7312.303786,15573.41578,341.6660405
324,6529.261346,7282.589073,15671.5431,339.4971242
325,6416.795489,7204.797871,15260.75759,343.6494198
326,6379.826464,7026.323237,15103.73057,341.3955821
327,6549.556108,7152.469237,15627.27547,336.9477084
328,6588.516759,7353.249284,15698.75426,344.1926605
329,6467.072651,7307.325557,15650.66872,341.6531108
330,6395.212764,7238.076175,15337.31178,343.8452631
331,6557.336764,7211.331089,15644.3873,340.8529905
332,6537.959698,7250.563284,15777.774,342.841426
333,6567.816407,7400.484695,15842.94038,343.6800839
334,6551.736005,7392.228386,15666.28708,346.7867418
335,6483.580029,7313.238794,15534.47072,344.7408177
336,6514.586146,7305.121575,15531.81689,342.1328132
337,6470.849805,7264.203375,15512.42201,342.9378936
338,6540.974964,7266.029097,15613.764,343.4151423
339,6491.830922,7301.916541,15517.58917,342.9358955
340,6508.627548,7340.172059,15629.70304,343.4027435
341,6522.7118,7232.627503,15603.88777,342.8665379
342,6532.399704,7262.152776,15535.7004,342.621269
343,6490.809586,7242.640187,15587.32287,342.8978763
344,6517.799294,7273.70313,15632.12388,340.349269
345,6476.937219,7243.394689,15498.51276,343.5280367
346,6559.485172,7279.504066,15630.96293,343.4060644
347,6512.583241,7349.007137,15734.20492,345.7807914
348,6501.179084,7242.912911,15517.03955,341.3560149
349,6516.916312,7279.93115,15599.32454,343.1355747
350,6513.965379,7165.997142,15465.90456,341.7838597
351,6483.368422,7174.744527,15555.16063,341.2853371
352,6506.648408,7360.239116,15627.25635,345.3537694
353,6500.990937,7225.313129,15474.75507,339.2500135
354,6503.239604,7261.821978,15525.82762,340.0061983
355,6547.276639,7221.381763,15651.37372,345.375367
356,6499.51414,7327.752988,15564.96546,343.0235848
357,6492.68555,7285.921188,15510.25594,340.3162407
358,6473.003546,7155.275281,15511.65925,340.5871439
359,6486.249506,7235.05125,15505.04231,340.2845178
360,6510.357511,7292.457106,15553.66108,342.7779776
361,6545.683964,7305.823474,15567.51046,344.2160117
362,6510.577561,7337.533809,15541.46133,342.3703488
363,6524.031067,7249.712673,15544.62574,342.6260983
364,6471.522129,7239.250003,15468.43946,338.6257334
365,6440.303191,7186.404095,15245.41856,345.3996084
366,6453.230323,7128.650094,15465.21146,341.4364462
367,6537.894405,7292.210759,15745.79835,339.5846909
368,6507.678473,7309.710309,15542.33577,343.8837951
369,6555.798398,7287.942219,15768.03942,343.1066752
370,6476.135802,7325.792408,15383.9705,343.4811187
371,6489.230318,7178.076986,15577.74205,341.8553248
372,6515.101416,7305.57199,15613.6322,341.1734595
373,6552.777715,7315.085244,15663.09404,343.173258
374,6497.738369,7413.819388,15702.71699,347.9786674
375,6542.757941,7318.506528,15644.92557,341.0463911
376,6498.359506,7352.326199,15497.17071,343.0857417
377,6493.891631,7190.118069,15537.97671,340.3279837
378,6525.518119,7246.848891,15523.98789,340.9098613
379,6528.614776,7253.222643,15682.72762,341.8463511
380,6501.759237,7243.589047,15496.19566,341.71508
381,6495.325487,7273.780476,15560.55416,342.5150942
382,6530.376714,7300.757829,15570.84173,342.1898936
383,6459.443558,7271.169129,15511.04167,339.7684134
384,6548.465787,7192.908626,15612.86816,340.0310636
385,6478.584633,7337.967161,15587.41254,346.0624504
386,6528.191602,7188.51242,15528.41937,337.8470347
387,6541.103253,7298.46401,15512.24879,346.6427428
388,6477.600499,7245.391,15523.50989,342.1143638
389,6532.198968,7213.090275,15587.69443,342.9978142
390,6508.411639,7293.994233,15512.40544,340.8949786
391,6550.718608,7254.640991,15589.27718,342.1594453
392,6521.378223,7289.800078,15678.8707,342.6477842
393,6479.033863,7158.213044,15342.07013,339.5055658
394,6498.250308,7291.299475,15434.70473,345.2338338
395,6504.029194,7250.504245,15454.22016,339.2112334
396,6437.577877,7245.602203,15618.74146,343.0195325
397,6393.939226,7112.514851,15083.64918,337.3802776
398,6561.584963,7271.308526,15698.94893,339.7722326
399,6490.661962,7285.901425,15620.62449,343.7555308
400,6517.475757,7151.962434,15318.5904,336.6064094
401,6381.657986,7210.512045,15384.39361,345.7473028
402,6543.371154,7316.577423,15696.34461,340.1531858
403,6593.464992,7194.075586,15775.35269,342.9308321
404,6569.360396,7356.269092,15650.11824,342.8584734
405,6518.833205,7308.015204,15613.66582,348.9685243
406,6462.324039,7177.831906,15491.46907,340.8816745
407,6544.727508,7220.424891,15456.62053,340.9764715
408,6549.630533,7362.243726,15727.44814,343.9223275
409,6487.627332,7182.841381,15449.19828,341.5239444
410,6509.172588,7301.812784,15437.14373,340.2742435
411,6477.576043,7184.877558,15499.9549,334.6639737
412,6527.829301,7279.472962,15615.41342,344.7846509
413,6471.660818,7275.907579,15436.96955,339.1760662
414,6428.040067,7165.632015,15425.32113,338.4030581
415,6089.229506,6918.257095,14721.33165,333.8581563
416,6471.649353,7159.505026,15600.77534,341.058341
417,6210.538233,7080.498437,15029.27885,334.7320872
418,6443.683771,6954.384227,15168.90263,331.5769203
419,6795.363021,7249.049381,15686.31721,351.5597382
420,6313.743709,7409.338627,15846.76096,335.365275
421,6770.65023,7335.196258,15798.87282,346.9312445
422,6277.129231,7262.349733,15188.5725,343.671109
423,6385.562851,7044.495319,15010.30981,337.1979005
